Model,C,mean_f1,std_f1,rank
LinearSVM,0.001,0.8789660204294352,0.06976038843295873,1
LinearSVM,0.003,0.8789660204294352,0.06976038843295873,1
LinearSVM,0.01,0.8789660204294352,0.06976038843295873,1
LinearSVM,0.03,0.8789660204294352,0.06976038843295873,1
LinearSVM,0.1,0.8629403794037941,0.06297891037951844,5
LinearSVM,0.3,0.8629403794037941,0.06297891037951844,5
LinearSVM,1.0,0.8629403794037941,0.06297891037951844,5
LinearSVM,3.0,0.8629403794037941,0.06297891037951844,5
LinearSVM,10.0,0.8629403794037941,0.06297891037951844,5
LogisticRegression,0.3,0.890061607337414,0.040761015870102606,1
LogisticRegression,1.0,0.8831855329507912,0.05007138808103505,2
LogisticRegression,3.0,0.8824074074074074,0.0444637303834925,3
LogisticRegression,0.1,0.8803196803196803,0.02597556285317136,4
LogisticRegression,10.0,0.87841240116521,0.040025550407693414,5
LogisticRegression,0.001,0.8701664532650448,0.04971420598154057,6
LogisticRegression,0.003,0.8701664532650448,0.04971420598154057,6
LogisticRegression,0.01,0.8701664532650448,0.04971420598154057,6
LogisticRegression,0.03,0.8701664532650448,0.04971420598154057,6
RandomForest,1.0,0.8779835390946502,0.040119763468298986,1
RandomForest,3.0,0.8676532502013808,0.03798296788248358,2
RandomForest,0.001,0.8645901523950306,0.048614961385505515,3
RandomForest,0.003,0.8645901523950306,0.048614961385505515,3
RandomForest,0.01,0.8645901523950306,0.048614961385505515,3
RandomForest,0.03,0.8645901523950306,0.048614961385505515,3
RandomForest,0.1,0.8643773711104017,0.02492488935392535,7
RandomForest,0.3,0.8589065255731922,0.052926511255613755,8
RandomForest,10.0,0.8472395616590372,0.05253896279971938,9
XGBoost,1.0,0.885113685113685,0.034241867225514595,1
XGBoost,0.001,0.8783634665987607,0.042069284456403316,2
XGBoost,0.003,0.8783634665987607,0.042069284456403316,2
XGBoost,0.01,0.8783634665987607,0.042069284456403316,2
XGBoost,0.03,0.8783634665987607,0.042069284456403316,2
XGBoost,0.1,0.8775542784163474,0.0145808668375229,6
XGBoost,0.3,0.8654709713633153,0.043952007626172226,7
XGBoost,3.0,0.8636422232138431,0.0585278019375854,8
XGBoost,10.0,0.8345107341136836,0.05447715036389757,9
