k,mean_f1,std_f1,rank
5,0.8594970572498662,0.049568202563619775,4
8,0.846119733924612,0.0461026746549606,6
10,0.8601233200716404,0.018173214030251614,3
12,0.8568711214801036,0.052641449797627776,5
15,0.8286549707602339,0.08073141246706599,7
18,0.8619953286619954,0.051311779545217796,2
22,0.875955024792234,0.05032013577619168,1
