Fold,Model,best_C_used,Accuracy,Precision,Recall,F1,ROC_AUC,n_selected_features
1,MLP,0.1,0.7962962962962963,0.8444444444444444,0.9047619047619048,0.8735632183908046,0.8551587301587302,1
2,MLP,0.1,0.8,0.7894736842105263,0.9375,0.8571428571428571,0.857638888888889,4
3,MLP,0.1,0.8333333333333334,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.6031746031746031,2
