C,mean_f1,std_f1,rank
0.001,0.875955024792234,0.05032013577619168,2
0.003,0.875955024792234,0.05032013577619168,2
0.01,0.875955024792234,0.05032013577619168,2
0.03,0.8719600185500368,0.04588662999946644,5
0.1,0.8799323282081902,0.021680624148439007,1
0.3,0.8716412369603148,0.05256410062309913,6
1.0,0.8290735179624068,0.08892202118006814,9
3.0,0.8563224540752631,0.06832994194777639,7
10.0,0.8519721019721019,0.050781157364954845,8
