Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
0.01,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.02,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.03,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.04,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.05,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.060000000000000005,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.06999999999999999,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.08,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.09,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.09999999999999999,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.11,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.12,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.13,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.14,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.15000000000000002,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.16,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.17,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
0.18000000000000002,0.7697368421052632,0.5138888888888888,0.7682119205298014,1.0,0.8689138576779026
0.19,0.7697368421052632,0.5138888888888888,0.7682119205298014,1.0,0.8689138576779026
0.2,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
0.21000000000000002,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
0.22,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
0.23,0.7763157894736842,0.5277777777777778,0.7733333333333333,1.0,0.8721804511278195
0.24000000000000002,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
0.25,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
0.26,0.7828947368421053,0.5416666666666666,0.7785234899328859,1.0,0.8754716981132076
0.27,0.7894736842105263,0.5555555555555556,0.7837837837837838,1.0,0.8787878787878788
0.28,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.29000000000000004,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.3,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.31,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.32,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.33,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.34,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.35000000000000003,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.36000000000000004,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.37,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.38,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.39,0.7960526315789473,0.5694444444444444,0.7891156462585034,1.0,0.8821292775665399
0.4,0.7894736842105263,0.5651340996168582,0.7876712328767124,0.9913793103448276,0.8778625954198473
0.41000000000000003,0.7894736842105263,0.5651340996168582,0.7876712328767124,0.9913793103448276,0.8778625954198473
0.42000000000000004,0.7894736842105263,0.5651340996168582,0.7876712328767124,0.9913793103448276,0.8778625954198473
0.43,0.7894736842105263,0.5651340996168582,0.7876712328767124,0.9913793103448276,0.8778625954198473
0.44,0.7763157894736842,0.5565134099616859,0.7847222222222222,0.9741379310344828,0.8692307692307693
0.45,0.7763157894736842,0.5565134099616859,0.7847222222222222,0.9741379310344828,0.8692307692307693
0.46,0.7697368421052632,0.5522030651340997,0.7832167832167832,0.9655172413793104,0.8648648648648649
0.47000000000000003,0.7828947368421053,0.5799808429118775,0.7943262411347518,0.9655172413793104,0.8715953307392996
0.48000000000000004,0.8026315789473685,0.6216475095785441,0.8115942028985508,0.9655172413793104,0.8818897637795275
0.49,0.8026315789473685,0.6408045977011494,0.8208955223880597,0.9482758620689655,0.88
