,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,ROC_AUC,ROC_AUC,n_selected_features,n_selected_features
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,,,
LinearSVM,0.7951234567901234,0.13436079600283282,0.7907142857142858,0.13082742956479199,1.0,0.0,0.8789660204294352,0.08543867795955135,0.7039517195767195,0.12151065166552476,22.0,0.0
LogisticRegression,0.817530864197531,0.05219638621915574,0.8606566432653389,0.03651390115357449,0.9126984126984127,0.11251941967268118,0.8819807992566059,0.040485521616569035,0.7806712962962963,0.10873631746572131,5.0,0.0
RandomForest,0.7901543209876544,0.0672938816433566,0.8183115535217248,0.09856566484473428,0.9340277777777777,0.06668814315351562,0.8682025559363415,0.05278323441470287,0.6087962962962963,0.34173719460235397,8.0,0.0
XGBoost,0.8037654320987654,0.06780922497880947,0.8155254091300602,0.09071700465892649,0.9603174603174603,0.06873217490352689,0.8783634665987607,0.051524140381093854,0.7367724867724869,0.08420470665982238,22.0,0.0
