Model,Best_Threshold,Strategy_Note,Best_F1,Best_Recall,Best_Bal_Acc,Best_Precision,Default_F1_0.50,Constraint_Target
LogisticRegression,0.46,Constraint Met ✅,0.8917,0.9224,0.7251,0.8629,0.8917,Recall>=0.9
RandomForest,0.53,Constraint Met ✅,0.8917,0.9224,0.7251,0.8629,0.8807,Recall>=0.9
LinearSVM,0.17,Constraint Met ✅,0.8906,0.9828,0.6303,0.8143,0.8462,Recall>=0.9
XGBoost,0.53,Constraint Met ✅,0.8898,0.9397,0.692,0.845,0.8871,Recall>=0.9
