Feature,MLP
MDVP:Fo(Hz),1
MDVP:Fhi(Hz),0
MDVP:Flo(Hz),0
MDVP:Jitter(%),0
MDVP:Jitter(Abs),0
MDVP:RAP,0
MDVP:PPQ,0
Jitter:DDP,0
MDVP:Shimmer,0
MDVP:Shimmer(dB),0
Shimmer:APQ3,0
Shimmer:APQ5,0
MDVP:APQ,0
Shimmer:DDA,0
NHR,0
HNR,0
RPDE,0
DFA,0
spread1,1
spread2,0
D2,0
PPE,0
