mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__solver,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__batch_size,param_mlp__alpha,param_mlp__activation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.059197028477986656,0.0035086710289302346,0.003637234369913737,0.0009070643188880589,adam,0.00020691380811147902,"(32,)",32,3.359818286283781e-06,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00020691380811147902), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(3.359818286283781e-06), 'mlp__activation': 'tanh'}",0.7441860465116279,0.759493670886076,0.8974358974358975,0.8003718716112004,0.06891854938002485,72
0.04725114504496256,0.01893435710067329,0.0,0.0,adam,0.00020691380811147902,"(16,)",64,0.029763514416313194,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00020691380811147902), 'mlp__hidden_layer_sizes': (16,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'relu'}",0.676923076923077,0.21621621621621623,0.6666666666666666,0.5199353199353199,0.21480265200223314,120
0.12223259607950847,0.04078156092924864,0.0052937666575113935,0.007486516603091099,adam,0.00020691380811147902,"(32,)",8,2.06913808111479e-05,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00020691380811147902), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(2.06913808111479e-05), 'mlp__activation': 'tanh'}",0.7586206896551724,0.8767123287671232,0.9113924050632911,0.8489084744951955,0.06539413832786417,14
0.1376948356628418,0.03667496550405849,0.006714026133219401,0.006850273174424723,adam,0.0001623776739188721,"(16,)",8,0.0026366508987303583,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001623776739188721), 'mlp__hidden_layer_sizes': (16,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'relu'}",0.676923076923077,0.36363636363636365,0.6666666666666666,0.569075369075369,0.14532764638260845,118
0.09492778778076172,0.020669847251784022,0.004984935124715169,0.0017277746868242679,adam,0.0003359818286283781,"(64, 32)",32,3.359818286283781e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0003359818286283781), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(3.359818286283781e-06), 'mlp__activation': 'relu'}",0.5423728813559322,0.631578947368421,0.7945205479452054,0.656157458889853,0.10439568593596416,113
0.13624652226765951,0.011218741007869869,0.0013341903686523438,0.001886830114135704,adam,0.0008858667904100823,"(128,)",8,1.8329807108324375e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0008858667904100823), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(1.8329807108324375e-06), 'mlp__activation': 'relu'}",0.7692307692307693,0.6764705882352942,0.9333333333333333,0.7930115635997991,0.10620345911014895,78
0.10155550638834636,0.023535189188342402,0.0,0.0,adam,0.002335721469090121,"(128,)",16,0.01623776739188721,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(0.01623776739188721), 'mlp__activation': 'tanh'}",0.7466666666666667,0.8169014084507042,0.8433734939759037,0.8023138563644249,0.040805637837248915,70
0.051052252451578774,0.014101392607216432,0.0013327598571777344,0.001884807065407181,adam,0.002335721469090121,"(32,)",64,6.158482110660267e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(6.158482110660267e-06), 'mlp__activation': 'relu'}",0.6829268292682927,0.8311688311688312,0.9090909090909091,0.8077288565093443,0.09380697223387585,62
0.0699022610982259,0.006988625729631851,0.004167397816975911,0.000604045733923835,adam,0.0014384498882876629,"(32,)",16,0.00012742749857031334,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0014384498882876629), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(0.00012742749857031334), 'mlp__activation': 'relu'}",0.6829268292682927,0.8311688311688312,0.9090909090909091,0.8077288565093443,0.09380697223387585,62
0.052849133809407554,0.010079608032528569,0.002672910690307617,0.001890043222019525,adam,0.0014384498882876629,"(64, 32)",64,6.951927961775606e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0014384498882876629), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(6.951927961775606e-05), 'mlp__activation': 'relu'}",0.5806451612903226,0.8,0.7887323943661971,0.7231258518855066,0.10085402034141604,107
