Fold,Model,Accuracy,Precision,Recall,F1,ROC_AUC
1,MLP,0.8148148148148148,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.7579365079365079
2,MLP,0.72,0.7142857142857143,0.9375,0.8108108108108109,0.8333333333333334
3,MLP,0.875,0.875,1.0,0.9333333333333333,0.6031746031746031
