,Accuracy,Precision,Recall,F1,ROC_AUC
mean,0.8032716049382715,0.8176406926406926,0.9474206349206349,0.875955024792234,0.7314814814814815
std,0.07814207746592386,0.08968819164706004,0.048387890469274594,0.061629328219619174,0.1173378097018259
